iter	Passed	Remaining
0	67	66978
1	70	35334
2	74	24665
3	76	19044
4	78	15646
5	80	13345
6	82	11677
7	84	10448
8	86	9479
9	87	8678
10	89	8081
11	91	7525
12	92	7032
13	93	6606
14	94	6235
15	96	5907
16	97	5646
17	98	5390
18	99	5147
19	100	4933
20	101	4744
21	102	4567
22	103	4402
23	104	4246
24	105	4105
25	106	3974
26	106	3853
27	107	3739
28	108	3635
29	109	3536
30	110	3441
31	111	3363
32	112	3291
33	113	3220
34	114	3165
35	116	3114
36	117	3049
37	118	2991
38	119	2935
39	119	2877
40	120	2821
41	121	2769
42	122	2721
43	123	2675
44	123	2629
45	125	2599
46	126	2565
47	127	2528
48	128	2498
49	130	2475
50	131	2442
51	132	2411
52	133	2378
53	133	2345
54	134	2314
55	135	2285
56	136	2255
57	137	2227
58	137	2200
59	138	2176
60	139	2155
61	141	2135
62	142	2121
63	144	2109
64	145	2091
65	147	2085
66	148	2066
67	149	2047
68	150	2026
69	150	2006
70	151	1986
71	152	1968
72	153	1952
73	154	1937
74	156	1925
75	157	1917
76	159	1913
77	160	1899
78	161	1885
79	163	1874
80	164	1862
81	165	1849
82	165	1832
83	167	1821
84	168	1809
85	169	1800
86	170	1789
87	171	1778
88	173	1770
89	174	1762
90	175	1751
91	176	1740
92	177	1729
93	178	1720
94	179	1710
95	180	1699
96	181	1689
97	182	1679
98	183	1672
99	184	1664
100	186	1657
101	187	1650
102	188	1643
103	190	1639
104	191	1630
105	192	1623
106	193	1615
107	194	1606
108	195	1597
109	196	1589
110	198	1587
111	199	1582
112	200	1576
113	202	1573
114	204	1570
115	205	1563
116	206	1556
117	207	1549
118	208	1541
119	209	1534
120	210	1527
121	210	1518
122	212	1514
123	213	1510
124	215	1505
125	216	1504
126	218	1499
127	219	1493
128	220	1487
129	221	1482
130	222	1475
131	223	1469
132	224	1463
133	225	1457
134	227	1455
135	228	1451
136	229	1445
137	230	1439
138	231	1433
139	232	1427
140	233	1422
141	234	1414
142	235	1409
143	236	1404
144	237	1401
145	239	1401
146	241	1403
147	243	1402
148	245	1403
149	247	1401
150	248	1397
151	249	1392
152	251	1391
153	252	1387
154	253	1382
155	254	1378
156	256	1375
157	257	1371
158	258	1368
159	259	1363
160	260	1358
161	262	1359
162	264	1356
163	265	1353
164	266	1349
165	267	1345
166	268	1341
167	270	1337
168	271	1335
169	272	1332
170	274	1329
171	275	1328
172	277	1327
173	278	1322
174	279	1318
175	280	1314
176	281	1310
177	282	1306
178	283	1301
179	285	1298
180	286	1295
181	287	1292
182	288	1289
183	290	1287
184	292	1287
185	293	1283
186	294	1279
187	295	1275
188	296	1271
189	297	1267
190	298	1263
191	299	1261
192	301	1258
193	302	1255
194	303	1252
195	304	1250
196	306	1249
197	307	1246
198	308	1243
199	309	1239
200	310	1236
201	311	1232
202	313	1229
203	314	1227
204	315	1224
205	316	1221
206	318	1218
207	319	1216
208	320	1213
209	321	1209
210	322	1206
211	323	1202
212	324	1199
213	325	1196
214	326	1192
215	327	1189
216	329	1188
217	330	1186
218	331	1183
219	333	1184
220	335	1183
221	337	1181
222	338	1178
223	339	1175
224	340	1172
225	341	1169
226	342	1166
227	343	1164
228	345	1161
229	346	1160
230	348	1158
231	349	1155
232	350	1153
233	351	1150
234	352	1147
235	353	1144
236	354	1141
237	355	1138
238	356	1135
239	357	1132
240	358	1130
241	360	1128
242	362	1130
243	364	1128
244	365	1126
245	366	1124
246	368	1122
247	369	1120
248	370	1117
249	371	1114
250	372	1112
251	374	1110
252	375	1109
253	377	1108
254	379	1107
255	380	1105
256	381	1102
257	382	1099
258	383	1097
259	384	1094
260	385	1091
261	386	1088
262	387	1086
263	389	1084
264	390	1083
265	391	1081
266	393	1079
267	394	1077
268	395	1075
269	396	1072
270	397	1070
271	398	1067
272	400	1065
273	401	1065
274	403	1063
275	405	1063
276	406	1061
277	408	1060
278	409	1058
279	410	1056
280	411	1053
281	413	1051
282	414	1049
283	415	1046
284	416	1045
285	417	1043
286	419	1042
287	421	1041
288	422	1040
289	424	1038
290	425	1036
291	426	1033
292	427	1031
293	428	1029
294	429	1026
295	430	1024
296	432	1022
297	433	1020
298	435	1020
299	436	1018
300	437	1016
301	439	1014
302	440	1012
303	441	1011
304	442	1009
305	443	1006
306	444	1004
307	446	1003
308	448	1002
309	449	1000
310	450	998
311	451	996
312	453	994
313	454	992
314	455	990
315	456	988
316	457	985
317	458	983
318	459	981
319	460	979
320	462	977
321	464	977
322	465	975
323	466	973
324	467	971
325	468	969
326	470	967
327	471	965
328	472	963
329	473	960
330	474	958
331	475	956
332	476	954
333	478	954
334	479	952
335	481	951
336	482	949
337	483	947
338	484	945
339	486	943
340	487	941
341	488	939
342	489	937
343	490	936
344	492	935
345	494	934
346	495	932
347	496	930
348	497	928
349	498	926
350	500	924
351	501	922
352	502	920
353	503	917
354	504	916
355	506	915
356	507	914
357	509	913
358	510	911
359	511	910
360	513	908
361	514	906
362	515	904
363	516	902
364	517	900
365	519	899
366	524	904
367	525	902
368	526	900
369	527	898
370	528	896
371	529	894
372	530	892
373	531	890
374	533	888
375	534	887
376	535	885
377	537	884
378	538	882
379	540	881
380	541	879
381	542	878
382	543	876
383	545	874
384	546	872
385	547	870
386	548	869
387	549	867
388	552	867
389	553	866
390	555	865
391	556	863
392	557	861
393	558	859
394	559	857
395	560	855
396	562	853
397	563	852
398	564	850
399	567	850
400	568	849
401	570	849
402	571	847
403	573	845
404	574	843
405	575	841
406	576	840
407	578	838
408	579	837
409	581	836
410	582	835
411	585	835
412	586	833
413	587	831
414	588	829
415	589	827
416	590	825
417	593	825
418	595	825
419	597	825
420	599	825
421	601	823
422	602	821
423	603	819
424	605	818
425	606	817
426	607	815
427	608	813
428	610	812
429	611	810
430	612	808
431	613	806
432	614	804
433	615	802
434	616	800
435	617	798
436	618	796
437	619	795
438	621	793
439	622	792
440	624	791
441	626	790
442	628	789
443	629	788
444	630	786
445	631	784
446	633	783
447	634	781
448	635	780
449	636	778
450	638	777
451	641	777
452	642	775
453	643	774
454	645	772
455	646	771
456	647	769
457	648	767
458	651	767
459	652	765
460	653	764
461	654	762
462	655	760
463	656	758
464	657	756
465	658	754
466	659	753
467	660	751
468	661	749
469	663	747
470	664	746
471	665	744
472	666	743
473	668	741
474	669	740
475	671	738
476	672	736
477	673	735
478	674	733
479	675	731
480	676	729
481	678	728
482	679	727
483	680	725
484	681	724
485	683	722
486	684	720
487	685	718
488	686	717
489	687	715
490	688	713
491	689	711
492	690	709
493	691	708
494	692	706
495	694	705
496	695	704
497	697	702
498	698	701
499	699	699
500	700	697
501	702	696
502	702	694
503	703	692
504	704	691
505	705	689
506	707	687
507	708	686
508	709	684
509	710	682
510	711	681
511	712	679
512	713	677
513	714	675
514	715	674
515	716	672
516	717	670
517	718	668
518	719	667
519	720	665
520	722	664
521	724	663
522	726	662
523	727	660
524	728	659
525	729	657
526	730	655
527	731	654
528	732	652
529	733	650
530	735	649
531	736	647
532	737	645
533	738	644
534	740	643
535	741	642
536	743	640
537	744	638
538	745	637
539	746	635
540	747	634
541	748	632
542	749	630
543	750	629
544	751	627
545	753	626
546	755	625
547	757	624
548	758	622
549	759	621
550	760	619
551	761	618
552	762	616
553	763	614
554	764	613
555	765	611
556	767	610
557	768	608
558	770	607
559	771	606
560	772	604
561	774	603
562	775	601
563	776	600
564	777	598
565	778	596
566	779	595
567	780	593
568	781	592
569	783	590
570	784	589
571	785	587
572	786	586
573	787	584
574	788	582
575	789	581
576	790	579
577	791	577
578	792	576
579	793	574
580	794	573
581	795	571
582	797	570
583	798	568
584	799	567
585	800	565
586	801	564
587	803	563
588	804	561
589	806	560
590	807	558
591	808	557
592	809	555
593	810	554
594	812	553
595	813	551
596	815	550
597	816	548
598	817	547
599	818	545
600	819	544
601	820	542
602	821	540
603	822	539
604	823	537
605	825	536
606	826	535
607	827	533
608	828	532
609	829	530
610	830	528
611	831	527
612	833	525
613	834	524
614	835	522
615	836	521
616	837	519
617	838	518
618	839	516
619	840	515
620	841	513
621	843	512
622	844	510
623	845	509
624	846	507
625	847	506
626	848	504
627	849	503
628	850	501
629	851	500
630	852	498
631	853	497
632	855	495
633	856	494
634	857	493
635	859	491
636	860	490
637	861	488
638	862	487
639	863	485
640	864	484
641	865	482
642	866	481
643	867	479
644	870	478
645	871	477
646	873	476
647	874	474
648	875	473
649	876	472
650	877	470
651	878	469
652	879	467
653	880	466
654	881	464
655	882	463
656	884	461
657	885	460
658	887	459
659	888	457
660	889	456
661	890	454
662	891	453
663	892	451
664	893	450
665	894	448
666	895	447
667	896	445
668	897	444
669	899	442
670	900	441
671	902	440
672	903	438
673	904	437
674	905	435
675	906	434
676	907	432
677	908	431
678	909	429
679	910	428
680	911	427
681	912	425
682	913	424
683	914	422
684	915	421
685	916	419
686	918	418
687	919	416
688	920	415
689	921	413
690	921	412
691	922	410
692	924	409
693	925	408
694	926	406
695	927	405
696	929	404
697	930	402
698	931	401
699	932	399
700	933	398
701	934	396
702	935	395
703	936	393
704	937	392
705	939	391
706	940	389
707	941	388
708	943	387
709	945	385
710	946	384
711	947	383
712	948	381
713	949	380
714	950	378
715	951	377
716	952	376
717	954	374
718	955	373
719	957	372
720	958	370
721	959	369
722	960	368
723	961	366
724	962	365
725	963	363
726	964	362
727	966	360
728	967	359
729	968	358
730	969	356
731	971	355
732	973	354
733	975	353
734	976	352
735	977	350
736	979	349
737	980	348
738	981	346
739	982	345
740	984	343
741	985	342
